filename,final_depth,swap_count,runtime,init_time
adder_n28__42CYC.json,274,66,0.039496660232543945,0.8125159740447998
adder_n64__78CYC.json,518,157,0.2215123176574707,2.807410955429077
bv_n30__22CYC.json,51,31,0.00446009635925293,0.4654066562652588
bv_n70__40CYC.json,116,98,0.011373043060302734,1.463632583618164
cat_n35__36CYC.json,37,0,0.0013306140899658203,0.9285109043121338
cat_n65__66CYC.json,73,6,0.002860546112060547,2.759523630142212
dnn_n51__58CYC.json,450,156,0.12205767631530762,2.0688891410827637
ghz_n40__41CYC.json,43,1,0.0010733604431152344,0.9158201217651367
ghz_n78__79CYC.json,87,7,0.0020356178283691406,2.6040875911712646
ising_n34__16CYC.json,15,2,0.003740549087524414,0.5946669578552246
ising_n66__16CYC.json,15,7,0.007687807083129883,1.6170299053192139
knn_n31__18CYC.json,225,59,0.009719133377075195,0.7292113304138184
knn_n67__36CYC.json,544,224,0.04617762565612793,2.4853007793426514
multiplier_n45__462CYC.json,3434,1552,1.1269915103912354,4.307807445526123
multiplier_n75__1308CYC.json,9862,4740,3.307267427444458,8.596715211868286
qft_n29__222CYC.json,775,637,0.3640007972717285,3.6693084239959717
qft_n63__494CYC.json,1950,2752,2.5429677963256836,32.36599111557007
qugan_n39__40CYC.json,345,101,0.057125091552734375,1.5760784149169922
qugan_n71__72CYC.json,710,252,0.27271318435668945,3.7174580097198486
swap_test_n41__23CYC.json,309,104,0.01789402961730957,1.2186322212219238
wstate_n36__73CYC.json,144,0,0.004215717315673828,0.716280460357666
wstate_n76__153CYC.json,311,12,0.010151386260986328,2.551949977874756
