filename,final_depth,swap_count,runtime,init_time
bigadder_n18__37CYC.json,235,44,0.0510203838348388,0.4584746360778808
bv_n14__17CYC.json,40,21,0.0024366378784179,0.2004339694976806
bv_n19__22CYC.json,56,27,0.0034656524658203,0.3441104888916015
cat_state_n22__23CYC.json,36,12,0.0008938312530517,0.4273681640625
dnn_n16__173CYC.json,257,12,0.0589106082916259,0.3036222457885742
ghz_state_n23__24CYC.json,37,12,0.00083589553833,0.3360331058502197
ising_n26__16CYC.json,22,12,0.0039818286895751,0.5506577491760254
knn_n25__15CYC.json,169,39,0.0128228664398193,0.6981637477874756
multiplier_n15__49CYC.json,316,91,0.0528833866119384,0.313762903213501
multiply_n13__7CYC.json,74,27,0.0044968128204345,0.2284960746765136
qec9xz_n17__16CYC.json,43,24,0.0038626194000244,0.3967435359954834
qf21_n15__52CYC.json,289,47,0.0119953155517578,0.4009363651275635
qft_n18__134CYC.json,366,137,0.0733370780944824,1.319671630859375
qram_n20__24CYC.json,216,71,0.0181961059570312,0.5283999443054199
sat_n11__51CYC.json,547,118,0.0448601245880126,0.2332279682159423
seca_n11__37CYC.json,111,29,0.0107238292694091,0.2242641448974609
square_root_n18__203CYC.json,1866,396,0.1803727149963379,0.4124054908752441
swap_test_n25__15CYC.json,173,45,0.015460729598999,0.5818018913269043
wstate_n27__55CYC.json,120,12,0.0047230720520019,0.5036075115203857
