filename,final_depth,swap_count,runtime,init_time
bigadder_n18__37CYC.json,235,42,0.0690150260925293,0.0178425312042236
bv_n14__17CYC.json,41,21,0.0025858879089355,0.0034313201904296
bv_n19__22CYC.json,52,29,0.0043768882751464,0.0067811012268066
cat_state_n22__23CYC.json,36,12,0.0015599727630615,0.0260200500488281
dnn_n16__173CYC.json,259,22,0.0811429023742675,0.0095269680023193
ghz_state_n23__24CYC.json,37,12,0.0008089542388916,0.0146036148071289
ising_n26__16CYC.json,26,14,0.0047190189361572,0.0240454673767089
knn_n25__15CYC.json,169,39,0.0166225433349609,0.0410265922546386
multiplier_n15__49CYC.json,339,103,0.0439891815185546,0.0073950290679931
multiply_n13__7CYC.json,71,27,0.0052564144134521,0.0039067268371582
qec9xz_n17__16CYC.json,49,27,0.0041408538818359,0.0103442668914794
qf21_n15__52CYC.json,282,53,0.0112295150756835,0.0121996402740478
qft_n18__134CYC.json,392,132,0.0703163146972656,0.0580248832702636
qram_n20__24CYC.json,228,72,0.0277118682861328,0.0461535453796386
sat_n11__51CYC.json,566,113,0.0592291355133056,0.0073316097259521
seca_n11__37CYC.json,122,29,0.0092079639434814,0.0023677349090576
square_root_n18__203CYC.json,1932,430,0.2354390621185302,0.0316784381866455
swap_test_n25__15CYC.json,170,39,0.0173685550689697,0.0285651683807373
wstate_n27__55CYC.json,120,12,0.0045809745788574,0.0320994853973388
