filename,depth,qops,swap_count,final_depth
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_7.json,400,15336,2456,1966
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_0.json,100,3834,544,474
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_3.json,800,30672,4760,3751
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_9.json,300,11502,2070,1671
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_8.json,100,3834,615,488
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_8.json,200,7668,977,751
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_9.json,100,3834,521,407
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_5.json,300,11502,1761,1294
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_6.json,300,11502,1558,1346
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_0.json,200,7668,1073,836
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_1.json,700,26839,4293,3307
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_5.json,400,15336,2266,1848
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_8.json,900,34506,5780,4627
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_6.json,800,30672,4689,3818
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_5.json,200,7668,1282,946
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_9.json,900,34506,5648,4401
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_3.json,100,3834,585,501
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_6.json,400,15336,2676,1936
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_2.json,600,23004,3564,2744
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_7.json,200,7668,1123,865
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_2.json,500,19170,2846,2321
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_9.json,600,23004,3465,2895
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_5.json,600,23004,3633,2716
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_6.json,500,19170,2974,2426
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_4.json,200,7668,1078,882
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_8.json,300,11502,1807,1478
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_7.json,300,11502,1769,1479
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_1.json,200,7668,1347,1081
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_7.json,800,30672,4466,3877
