filename,final_depth,swap_count,runtime,init_time
bigadder_n18__37CYC.json,249,64,0.0159776210784912,0.0056667327880859
bv_n14__17CYC.json,42,38,0.0056180953979492,0.0060501098632812
bv_n19__22CYC.json,57,52,0.0042061805725097,0.0047707557678222
cat_state_n22__23CYC.json,35,21,0.001936912536621,0.0095846652984619
dnn_n16__173CYC.json,456,40,0.0890839099884033,0.00596284866333
ghz_state_n23__24CYC.json,37,22,0.0009453296661376,0.0074059963226318
ising_n26__16CYC.json,25,21,0.0037190914154052,0.0085878372192382
knn_n25__15CYC.json,199,64,0.0120759010314941,0.006166934967041
multiplier_n15__49CYC.json,408,190,0.0720889568328857,0.0053989887237548
multiply_n13__7CYC.json,82,46,0.0049607753753662,0.0050320625305175
qec9xz_n17__16CYC.json,65,54,0.0089514255523681,0.0055978298187255
qf21_n15__52CYC.json,296,109,0.0151200294494628,0.0066282749176025
qft_n18__134CYC.json,387,250,0.1472809314727783,0.0166635513305664
qram_n20__24CYC.json,232,120,0.0239467620849609,0.0079052448272705
sat_n11__51CYC.json,593,136,0.0389957427978515,0.0048975944519042
seca_n11__37CYC.json,160,49,0.0232133865356445,0.0058705806732177
square_root_n18__203CYC.json,2218,660,0.1710779666900634,0.0092699527740478
swap_test_n25__15CYC.json,200,64,0.0107240676879882,0.0085158348083496
wstate_n27__55CYC.json,120,23,0.0054118633270263,0.0062794685363769
