filename,final_depth,swap_count,runtime,init_time
bigadder_n18__37CYC.json,250,75,0.0179994106292724,0.0026404857635498
bv_n14__17CYC.json,39,35,0.0051136016845703,0.0009443759918212
bv_n19__22CYC.json,54,54,0.0044136047363281,0.0009574890136718
cat_state_n22__23CYC.json,36,17,0.0016272068023681,0.0026133060455322
dnn_n16__173CYC.json,346,25,0.0714457035064697,0.0013918876647949
ghz_state_n23__24CYC.json,37,17,0.0008547306060791,0.0020258426666259
ising_n26__16CYC.json,25,17,0.0044188499450683,0.0015811920166015
knn_n25__15CYC.json,187,70,0.0197999477386474,0.0036096572875976
multiplier_n15__49CYC.json,344,142,0.0372712612152099,0.0019166469573974
multiply_n13__7CYC.json,83,47,0.0063047409057617,0.001471996307373
qec9xz_n17__16CYC.json,70,46,0.0072968006134033,0.0019292831420898
qf21_n15__52CYC.json,309,88,0.0143380165100097,0.0046582221984863
qft_n18__134CYC.json,419,251,0.0912847518920898,0.007509708404541
qram_n20__24CYC.json,249,128,0.02992844581604,0.00356125831604
sat_n11__51CYC.json,583,146,0.0405662059783935,0.0025451183319091
seca_n11__37CYC.json,123,38,0.0107796192169189,0.0012252330780029
square_root_n18__203CYC.json,2210,692,0.2549507617950439,0.0033826828002929
swap_test_n25__15CYC.json,194,67,0.0166783332824707,0.0030262470245361
wstate_n27__55CYC.json,121,18,0.0065414905548095,0.0025417804718017
