filename,final_depth,swap_count,runtime,init_time
bigadder_n18__37CYC.json,250,43,0.022549867630004883,0.0306699275970459
bv_n14__17CYC.json,39,18,0.002721071243286133,0.006487846374511719
bv_n19__22CYC.json,53,32,0.0046176910400390625,0.01256704330444336
cat_state_n22__23CYC.json,26,2,0.0011873245239257812,0.021406888961791992
dnn_n16__173CYC.json,445,13,0.07960104942321777,0.020446300506591797
ghz_state_n23__24CYC.json,27,2,0.000982046127319336,0.023276090621948242
ising_n26__16CYC.json,14,1,0.003790140151977539,0.07831525802612305
knn_n25__15CYC.json,181,37,0.013556480407714844,0.05667853355407715
multiplier_n15__49CYC.json,404,145,0.06811404228210449,0.03992795944213867
multiply_n13__7CYC.json,64,25,0.0045928955078125,0.007347583770751953
qec9xz_n17__16CYC.json,54,30,0.006119251251220703,0.024216651916503906
qf21_n15__52CYC.json,289,59,0.01263737678527832,0.020778894424438477
qft_n18__134CYC.json,341,200,0.07962656021118164,0.026159286499023438
qram_n20__24CYC.json,224,84,0.03130006790161133,0.03273344039916992
sat_n11__51CYC.json,591,110,0.04275345802307129,0.013474225997924805
seca_n11__37CYC.json,119,24,0.01172018051147461,0.004484415054321289
square_root_n18__203CYC.json,2175,603,0.18580269813537598,0.02907538414001465
swap_test_n25__15CYC.json,182,37,0.01276087760925293,0.06176924705505371
wstate_n27__55CYC.json,111,3,0.006850242614746094,0.033989667892456055
