filename,final_depth,swap_count,runtime,init_time
bigadder_n18__37CYC.json,257,62,0.0192136764526367,0.0019536018371582
bv_n14__17CYC.json,39,46,0.003401756286621,0.0015044212341308
bv_n19__22CYC.json,50,61,0.005122423171997,0.0011260509490966
cat_state_n22__23CYC.json,36,25,0.0014152526855468,0.0014960765838623
dnn_n16__173CYC.json,505,69,0.0783958435058593,0.0026674270629882
ghz_state_n23__24CYC.json,36,24,0.0011885166168212,0.0018532276153564
ising_n26__16CYC.json,20,20,0.0086932182312011,0.0016999244689941
knn_n25__15CYC.json,192,58,0.0118510723114013,0.0018925666809082
multiplier_n15__49CYC.json,415,171,0.043328046798706,0.0016391277313232
multiply_n13__7CYC.json,88,53,0.00734543800354,0.0007612705230712
qec9xz_n17__16CYC.json,57,59,0.0066654682159423,0.001584768295288
qf21_n15__52CYC.json,296,79,0.0237979888916015,0.0044376850128173
qft_n18__134CYC.json,252,167,0.06740403175354,0.0008494853973388
qram_n20__24CYC.json,234,128,0.022709846496582,0.0024478435516357
sat_n11__51CYC.json,595,146,0.0353426933288574,0.0008661746978759
seca_n11__37CYC.json,171,46,0.0092372894287109,0.0008747577667236
square_root_n18__203CYC.json,2228,705,0.3892769813537597,0.0024449825286865
swap_test_n25__15CYC.json,193,58,0.0114204883575439,0.0019562244415283
wstate_n27__55CYC.json,119,21,0.0046062469482421,0.0025415420532226
