filename,final_depth,swap_count,runtime,init_time
bigadder_n18__37CYC.json,242,40,0.024895906448364258,0.004019260406494141
bv_n14__17CYC.json,35,26,0.002999544143676758,0.0027718544006347656
bv_n19__22CYC.json,46,41,0.005555152893066406,0.004822492599487305
cat_state_n22__23CYC.json,24,0,0.0010411739349365234,0.002652883529663086
dnn_n16__173CYC.json,443,13,0.09128808975219727,0.003521442413330078
ghz_state_n23__24CYC.json,25,0,0.0013508796691894531,0.0026891231536865234
ising_n26__16CYC.json,14,1,0.0037915706634521484,0.0018947124481201172
knn_n25__15CYC.json,182,38,0.012618064880371094,0.005013227462768555
multiplier_n15__49CYC.json,376,138,0.03798842430114746,0.0024328231811523438
multiply_n13__7CYC.json,64,25,0.005829572677612305,0.002371549606323242
qec9xz_n17__16CYC.json,44,27,0.004718780517578125,0.0025353431701660156
qf21_n15__52CYC.json,286,59,0.025081634521484375,0.0055201053619384766
qft_n18__134CYC.json,353,200,0.10465860366821289,0.0058994293212890625
qram_n20__24CYC.json,218,94,0.0196840763092041,0.0027954578399658203
sat_n11__51CYC.json,579,113,0.0287778377532959,0.0029931068420410156
seca_n11__37CYC.json,151,24,0.014902114868164062,0.003394603729248047
square_root_n18__203CYC.json,2150,617,0.23077154159545898,0.005932331085205078
swap_test_n25__15CYC.json,183,38,0.016745805740356445,0.004098415374755859
wstate_n27__55CYC.json,108,0,0.008781194686889648,0.0017712116241455078
