filename,final_depth,swap_count,runtime,init_time
81QBT_100CYC_QSE_0.json,640,1600,6.085011720657349,0.04690861701965332
81QBT_100CYC_QSE_1.json,677,1831,6.971445560455322,0.04896855354309082
81QBT_100CYC_QSE_2.json,557,1405,5.332303524017334,0.045102596282958984
81QBT_100CYC_QSE_3.json,671,1517,5.860434293746948,0.04461240768432617
81QBT_100CYC_QSE_4.json,741,1694,5.5778326988220215,0.043932437896728516
81QBT_100CYC_QSE_5.json,553,1446,5.3940956592559814,0.04567313194274902
81QBT_100CYC_QSE_6.json,601,1609,5.709322214126587,0.04647374153137207
81QBT_100CYC_QSE_7.json,537,1384,5.35248064994812,0.04569602012634277
81QBT_100CYC_QSE_8.json,679,1786,6.84224271774292,0.04131364822387695
81QBT_100CYC_QSE_9.json,571,1424,4.981659650802612,0.047556161880493164
81QBT_200CYC_QSE_0.json,984,2690,8.386399745941162,0.04897618293762207
81QBT_200CYC_QSE_1.json,1345,3098,9.728991270065308,0.04943060874938965
81QBT_200CYC_QSE_2.json,1369,3517,14.194242477416992,0.05621600151062012
81QBT_200CYC_QSE_3.json,1107,2594,9.839468002319336,0.052344322204589844
81QBT_200CYC_QSE_4.json,1327,3067,9.211288928985596,0.044198036193847656
81QBT_200CYC_QSE_5.json,1227,3115,12.36007809638977,0.08884811401367188
81QBT_200CYC_QSE_6.json,1018,2651,9.134103298187256,0.06358766555786133
81QBT_200CYC_QSE_7.json,1215,2844,10.856992959976196,0.052660465240478516
81QBT_200CYC_QSE_8.json,1478,3325,13.252456903457642,0.05485272407531738
81QBT_200CYC_QSE_9.json,1114,2819,9.533592462539673,0.0530858039855957
81QBT_300CYC_QSE_0.json,1573,3931,12.471048593521118,0.050546884536743164
81QBT_300CYC_QSE_1.json,1736,3974,11.030431985855103,0.05443215370178223
81QBT_300CYC_QSE_2.json,1696,4080,12.270330429077148,0.046154022216796875
81QBT_300CYC_QSE_3.json,1567,4308,11.774699926376343,0.05184316635131836
81QBT_300CYC_QSE_4.json,1613,3766,9.86619520187378,0.0519406795501709
81QBT_300CYC_QSE_5.json,1872,4410,12.454874992370605,0.04977893829345703
81QBT_300CYC_QSE_6.json,1530,3852,11.045292377471924,0.055184125900268555
81QBT_300CYC_QSE_7.json,1662,4033,10.967835187911987,0.05256032943725586
81QBT_300CYC_QSE_8.json,2041,4731,12.835905313491821,0.04814934730529785
81QBT_300CYC_QSE_9.json,1725,3918,11.201177835464478,0.050211429595947266
81QBT_400CYC_QSE_0.json,2322,5348,14.299726963043213,0.053353309631347656
81QBT_400CYC_QSE_1.json,2342,5149,11.880765438079834,0.05724310874938965
81QBT_400CYC_QSE_2.json,2719,6146,15.384989976882935,0.0548243522644043
81QBT_400CYC_QSE_3.json,2327,5439,13.464844703674316,0.05648040771484375
81QBT_400CYC_QSE_4.json,3087,7111,18.653555154800415,0.054322004318237305
81QBT_400CYC_QSE_5.json,2320,5242,12.90419864654541,0.05289149284362793
81QBT_400CYC_QSE_6.json,2580,6004,15.639282941818237,0.05640435218811035
81QBT_400CYC_QSE_7.json,2080,5026,22.215622901916504,0.09811878204345703
81QBT_400CYC_QSE_8.json,2192,5027,21.711720943450928,0.07286286354064941
81QBT_400CYC_QSE_9.json,2618,5980,24.06966280937195,0.11224198341369629
81QBT_500CYC_QSE_0.json,3097,7130,22.94672131538391,0.09449315071105957
81QBT_500CYC_QSE_1.json,2864,6761,25.764962434768677,0.10331010818481445
81QBT_500CYC_QSE_2.json,3023,7016,16.11074686050415,0.06103038787841797
81QBT_500CYC_QSE_3.json,2972,6970,16.623718738555908,0.05729818344116211
81QBT_500CYC_QSE_4.json,2873,6754,16.401464223861694,0.05791521072387695
81QBT_500CYC_QSE_5.json,3013,6820,15.65632176399231,0.058638572692871094
81QBT_500CYC_QSE_6.json,3127,7210,17.282381057739258,0.05965161323547363
81QBT_500CYC_QSE_7.json,3044,6786,15.778015613555908,0.05663728713989258
81QBT_500CYC_QSE_8.json,2861,6612,15.817793369293213,0.05807614326477051
81QBT_500CYC_QSE_9.json,2927,6834,15.376051902770996,0.04902076721191406
81QBT_600CYC_QSE_0.json,3539,8040,17.018198490142822,0.06458592414855957
81QBT_600CYC_QSE_1.json,3573,8041,17.592170000076294,0.05991649627685547
81QBT_600CYC_QSE_2.json,3118,7457,16.49820041656494,0.05922198295593262
81QBT_600CYC_QSE_3.json,3471,7756,17.221696853637695,0.05694746971130371
81QBT_600CYC_QSE_4.json,3776,8538,18.30639147758484,0.06037616729736328
81QBT_600CYC_QSE_5.json,3405,7496,15.250130653381348,0.0587158203125
81QBT_600CYC_QSE_6.json,4121,9340,21.00731134414673,0.06136178970336914
81QBT_600CYC_QSE_7.json,3390,7968,16.887131452560425,0.05696678161621094
81QBT_600CYC_QSE_8.json,3492,8256,17.102699041366577,0.06190013885498047
81QBT_600CYC_QSE_9.json,3252,7444,15.933466911315918,0.06240653991699219
81QBT_700CYC_QSE_0.json,4011,9492,18.827033758163452,0.06554055213928223
81QBT_700CYC_QSE_1.json,4032,9126,18.491602420806885,0.05335116386413574
81QBT_700CYC_QSE_2.json,4160,9487,19.65272808074951,0.05954909324645996
81QBT_700CYC_QSE_3.json,4006,9068,18.744771480560303,0.0555109977722168
81QBT_700CYC_QSE_4.json,4117,10222,20.78888726234436,0.06325435638427734
81QBT_700CYC_QSE_5.json,3856,8911,18.969309091567993,0.05740833282470703
81QBT_700CYC_QSE_6.json,4560,10613,22.913992643356323,0.06224846839904785
81QBT_700CYC_QSE_7.json,4677,10813,22.251646757125854,0.06276607513427734
81QBT_700CYC_QSE_8.json,4429,10020,20.9568030834198,0.0606687068939209
81QBT_700CYC_QSE_9.json,4054,9293,18.780698537826538,0.05696225166320801
81QBT_800CYC_QSE_0.json,4796,10529,18.28422999382019,0.06507682800292969
81QBT_800CYC_QSE_1.json,5055,11370,20.60934591293335,0.06291842460632324
81QBT_800CYC_QSE_2.json,5168,11566,22.832987546920776,0.06664395332336426
81QBT_800CYC_QSE_3.json,4862,11068,20.625659704208374,0.06599044799804688
81QBT_800CYC_QSE_4.json,5014,11519,21.12220048904419,0.06511759757995605
81QBT_800CYC_QSE_5.json,4813,11122,21.835569381713867,0.0688619613647461
81QBT_800CYC_QSE_6.json,4656,11052,21.240720510482788,0.06433510780334473
81QBT_800CYC_QSE_7.json,4676,10446,20.04936933517456,0.06653189659118652
81QBT_800CYC_QSE_8.json,4401,9907,19.738686323165894,0.06217145919799805
81QBT_800CYC_QSE_9.json,4740,10266,17.94075584411621,0.06465911865234375
81QBT_900CYC_QSE_0.json,5476,11703,20.56597876548767,0.0691065788269043
81QBT_900CYC_QSE_1.json,5503,12527,23.822519302368164,0.0648641586303711
81QBT_900CYC_QSE_2.json,4988,11546,20.82476830482483,0.07581734657287598
81QBT_900CYC_QSE_3.json,5372,12285,22.82229208946228,0.06813812255859375
81QBT_900CYC_QSE_4.json,5463,12420,23.213065147399902,0.06663346290588379
81QBT_900CYC_QSE_5.json,5911,13282,24.986221313476562,0.06955671310424805
81QBT_900CYC_QSE_6.json,4820,11429,20.482502460479736,0.0647590160369873
81QBT_900CYC_QSE_7.json,4895,11248,20.16109347343445,0.06786298751831055
81QBT_900CYC_QSE_8.json,5385,11951,21.808337211608887,0.06859636306762695
81QBT_900CYC_QSE_9.json,5055,11280,21.97845196723938,0.06115984916687012
